Statistical profiling result from conConsoleLog.log, (8067 ticks, 14 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.0%    0.2%  LazyCompile: *__awaiter /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/express-handlebars/dist/express-handlebars.js:18:54
      4    0.0%    0.2%  LazyCompile: *RES /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/inflight/inflight.js:18:28
      4    0.0%    0.2%  LazyCompile: *Glob._process /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/glob/glob.js:295:36
      4    0.0%    0.2%  LazyCompile: *<anonymous> :1:20
      4    0.0%    0.2%  LazyCompile: *<anonymous> /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/express-handlebars/dist/express-handlebars.js:251:47
      4    0.0%    0.2%  LazyCompile: *<anonymous> /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/express-handlebars/dist/express-handlebars.js:181:44
      3    0.0%    0.1%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      3    0.0%    0.1%  RegExp: ^(?:\}\}\}\})
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\s*else\b)
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?#\*?)
      3    0.0%    0.1%  RegExp: ^(?:[^\x00]*?(?=(\{\{)))
      3    0.0%    0.1%  RegExp: (^|\r?\n)\s*?$
      3    0.0%    0.1%  LazyCompile: *relative path.js:1166:11
      3    0.0%    0.1%  LazyCompile: *readFile fs.js:319:18
      3    0.0%    0.1%  LazyCompile: *lookupOnContext /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:448:44
      3    0.0%    0.1%  LazyCompile: *emit events.js:349:44
      3    0.0%    0.1%  LazyCompile: *<anonymous> /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/express-handlebars/dist/express-handlebars.js:30:40
      2    0.0%    0.1%  RegExp: ^\/info\/?(?=\/|$)
      2    0.0%    0.1%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      2    0.0%    0.1%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      2    0.0%    0.1%  RegExp: ^.*[\.\/\\]
      2    0.0%    0.1%  RegExp: ^(?:true(?=([~}\s)])))
      2    0.0%    0.1%  RegExp: ^(?:\}(~)?\}\})
      2    0.0%    0.1%  RegExp: ^(?:\{\{\{\{)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\{)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\/)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?>)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?!--)
      2    0.0%    0.1%  RegExp: \u001b\[\d\d?m
      2    0.0%    0.1%  RegExp: \r?\n\s*?$
      2    0.0%    0.1%  RegExp: \r?\n?
      2    0.0%    0.1%  RegExp: [&<>"'`=]
      2    0.0%    0.1%  RegExp: (?:\r\n?|\n).*
      2    0.0%    0.1%  LazyCompile: *trim_prefix /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/express/lib/router/index.js:288:23
      2    0.0%    0.1%  LazyCompile: *transformLiteralToPath /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:551:32
      2    0.0%    0.1%  LazyCompile: *stylizeWithColor internal/util/inspect.js:501:26
      2    0.0%    0.1%  LazyCompile: *push /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:868:22
      2    0.0%    0.1%  LazyCompile: *objectLiteral /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:123:40
      2    0.0%    0.1%  LazyCompile: *logger internal/util/debuglog.js:90:18
      2    0.0%    0.1%  LazyCompile: *isFileType fs.js:199:20
