Statistical profiling result from sinConsoleLog.log, (5004 ticks, 10 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.2%  LazyCompile: *emit events.js:349:44
      2    0.0%    0.2%  LazyCompile: *WhitespaceControl.Program /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:19:48
      2    0.0%    0.2%  LazyCompile: *MustacheStatement /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:215:48
      2    0.0%    0.2%  LazyCompile: *Glob._readdir /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/glob/glob.js:525:36
      2    0.0%    0.2%  LazyCompile: *Glob._processReaddir2 /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/glob/glob.js:375:44
      2    0.0%    0.2%  LazyCompile: *ExpressHandlebars._getTemplateName /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/express-handlebars/dist/express-handlebars.js:393:61
      2    0.0%    0.2%  LazyCompile: *<anonymous> /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/express-handlebars/dist/express-handlebars.js:251:47
      1    0.0%    0.1%  RegExp: ^text\/|^application\/(javascript|json)
      1    0.0%    0.1%  RegExp: ^\s*([^;\s]*)(?:;|\s|$)
      1    0.0%    0.1%  RegExp: ^\/api\/?(?=\/|$)
      1    0.0%    0.1%  RegExp: ^\.|this\b
      1    0.0%    0.1%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      1    0.0%    0.1%  RegExp: ^.*[\.\/\\]
      1    0.0%    0.1%  RegExp: ^(?:\}(~)?\}\})
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\{)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\s*else\s*(~)?\}\})
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\^)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\/)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?&)
      1    0.0%    0.1%  RegExp: ^(?:'(\\[']|[^'])*')
      1    0.0%    0.1%  RegExp: ^(?:$)
      1    0.0%    0.1%  LazyCompile: *trim_prefix /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/express/lib/router/index.js:288:23
      1    0.0%    0.1%  LazyCompile: *transformLiteralToPath /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:551:32
      1    0.0%    0.1%  LazyCompile: *stringifyFnReplacer /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/safe-stable-stringify/index.js:203:32
      1    0.0%    0.1%  LazyCompile: *step /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/express-handlebars/dist/express-handlebars.js:23:22
      1    0.0%    0.1%  LazyCompile: *resolvePath /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:492:36
      1    0.0%    0.1%  LazyCompile: *realpathSync fs.js:1723:22
      1    0.0%    0.1%  LazyCompile: *readPackageScope internal/modules/cjs/loader.js:289:26
      1    0.0%    0.1%  LazyCompile: *readFileAfterClose internal/fs/read_file_context.js:49:28
      1    0.0%    0.1%  LazyCompile: *read internal/fs/read_file_context.js:88:7
